Año,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio
2023,Balancán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,0,0,2,0,1,1
2023,Balancán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,1,1,1,0,0,0
2023,Balancán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,0,1,2,0,0,0
2023,Balancán,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,2,1,1,0,2,1
2023,Balancán,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,0,1,4,4,5,4
2023,Balancán,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,1,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Aborto,Aborto,Aborto,0,0,0,0,0,0
2023,Balancán,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,1,2,2,0,2,5
2023,Balancán,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,0,0,0,0,0,0
2023,Balancán,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,0,0,0,0,0,0
2023,Balancán,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,0,0,0,0,0,0
2023,Balancán,Libertad personal,Secuestro,Secuestro,Secuestro exprés,0,0,0,0,0,0
2023,Balancán,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,0,0,0,0,0,0
2023,Balancán,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0
2023,Balancán,Libertad personal,Rapto,Rapto,Rapto,0,0,0,0,0,0
2023,Balancán,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0
2023,Balancán,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,0,0,0,1,0,0
2023,Balancán,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0,0,0,0,0
2023,Balancán,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,1,2
2023,Balancán,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,0,1,0,3,0,1
2023,Balancán,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada,0,0,0,0,0,0
2023,Balancán,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,0,0,0,0,0,0
2023,Balancán,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,1,0,1,1,0,2
2023,Balancán,El patrimonio,Robo,Robo a casa habitación,Con violencia,0,0,0,0,0,0
2023,Balancán,El patrimonio,Robo,Robo a casa habitación,Sin violencia,2,0,2,3,4,1
2023,Balancán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,0,0,0,0,0,0
2023,Balancán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,0,0,0,0,0,0
2023,Balancán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,0,0,0,0,0,0
2023,Balancán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,0,0,0,0,0,0
2023,Balancán,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia,0,0,0,0,0,0
2023,Balancán,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Sin violencia,0,0,0,0,0,0
2023,Balancán,El patrimonio,Robo,Robo de autopartes,Con violencia,0,0,0,0,0,0
2023,Balancán,El patrimonio,Robo,Robo de autopartes,Sin violencia,0,2,0,0,1,1
2023,Balancán,El patrimonio,Robo,Robo a transportista,Con violencia,0,0,0,0,0,0
2023,Balancán,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0,0,0,0,0
